,model,params,MAE,RMSE,R2
0,SVR RBF kernel,"{'C': 50, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.5, 'gamma': 0.001, 'kernel': 'rbf', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.4697762760275902,2.2728336940508687,0.6731520209104987
1,SVR Linear Kernel,"{'C': 0.5, 'cache_size': 200, 'coef0': 0.0, 'degree': 3, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.4696379306667462,2.2727481727598775,0.6731766174617648
2,SVR Sigmoid Kernel,"{'C': 50, 'cache_size': 200, 'coef0': 0.5, 'degree': 3, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'sigmoid', 'max_iter': -1, 'shrinking': True, 'tol': 0.001, 'verbose': False}",0.6012607516552241,2.319488601684862,0.6595957518559921
