,model,params,MAE,RMSE,R2
0,KNN,"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'euclidean', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",1.8006302769141844,3.0033354317981917,0.4292864741800454
1,DesicionTree,"{'ccp_alpha': 0.0, 'criterion': 'absolute_error', 'max_depth': 15, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 10, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'random_state': 42, 'splitter': 'best'}",1.479313824419778,2.7981181509507635,0.5046153067091228
