,model,params,MAE,RMSE,R2
0,VotingRegressor,"{'estimators': [('svr_rbf', SVR(C=50, epsilon=0.5, gamma=0.001)), ('svr_sigmoid', SVR(C=50, coef0=0.5, epsilon=0.2, gamma=0.001, kernel='sigmoid')), ('DecisionTree', DecisionTreeRegressor(criterion='absolute_error', max_depth=15,
                      min_samples_leaf=10, random_state=42)), ('lasso', Lasso())], 'n_jobs': None, 'verbose': False, 'weights': [3, 3, 1, 1], 'svr_rbf': SVR(C=50, epsilon=0.5, gamma=0.001), 'svr_sigmoid': SVR(C=50, coef0=0.5, epsilon=0.2, gamma=0.001, kernel='sigmoid'), 'DecisionTree': DecisionTreeRegressor(criterion='absolute_error', max_depth=15,
                      min_samples_leaf=10, random_state=42), 'lasso': Lasso(), 'svr_rbf__C': 50, 'svr_rbf__cache_size': 200, 'svr_rbf__coef0': 0.0, 'svr_rbf__degree': 3, 'svr_rbf__epsilon': 0.5, 'svr_rbf__gamma': 0.001, 'svr_rbf__kernel': 'rbf', 'svr_rbf__max_iter': -1, 'svr_rbf__shrinking': True, 'svr_rbf__tol': 0.001, 'svr_rbf__verbose': False, 'svr_sigmoid__C': 50, 'svr_sigmoid__cache_size': 200, 'svr_sigmoid__coef0': 0.5, 'svr_sigmoid__degree': 3, 'svr_sigmoid__epsilon': 0.2, 'svr_sigmoid__gamma': 0.001, 'svr_sigmoid__kernel': 'sigmoid', 'svr_sigmoid__max_iter': -1, 'svr_sigmoid__shrinking': True, 'svr_sigmoid__tol': 0.001, 'svr_sigmoid__verbose': False, 'DecisionTree__ccp_alpha': 0.0, 'DecisionTree__criterion': 'absolute_error', 'DecisionTree__max_depth': 15, 'DecisionTree__max_features': None, 'DecisionTree__max_leaf_nodes': None, 'DecisionTree__min_impurity_decrease': 0.0, 'DecisionTree__min_samples_leaf': 10, 'DecisionTree__min_samples_split': 2, 'DecisionTree__min_weight_fraction_leaf': 0.0, 'DecisionTree__monotonic_cst': None, 'DecisionTree__random_state': 42, 'DecisionTree__splitter': 'best', 'lasso__alpha': 1.0, 'lasso__copy_X': True, 'lasso__fit_intercept': True, 'lasso__max_iter': 1000, 'lasso__positive': False, 'lasso__precompute': False, 'lasso__random_state': None, 'lasso__selection': 'cyclic', 'lasso__tol': 0.0001, 'lasso__warm_start': False}",0.6286604781509543,2.3105638573917955,0.6622102731266453
1,BaggingRegressor,"{'bootstrap': True, 'bootstrap_features': False, 'estimator__ccp_alpha': 0.0, 'estimator__criterion': 'squared_error', 'estimator__max_depth': 10, 'estimator__max_features': None, 'estimator__max_leaf_nodes': None, 'estimator__min_impurity_decrease': 0.0, 'estimator__min_samples_leaf': 6, 'estimator__min_samples_split': 3, 'estimator__min_weight_fraction_leaf': 0.0, 'estimator__monotonic_cst': None, 'estimator__random_state': 42, 'estimator__splitter': 'best', 'estimator': DecisionTreeRegressor(max_depth=10, min_samples_leaf=6, min_samples_split=3,
                      random_state=42), 'max_features': np.float64(0.8887995089067299), 'max_samples': np.float64(0.9754210836063001), 'n_estimators': 211, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",1.145797024134368,2.5196241197706946,0.5983183427595278
2,RandomForestRegressor,"{'bootstrap': True, 'ccp_alpha': np.float64(0.009789556739464822), 'criterion': 'squared_error', 'max_depth': 15, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': np.float64(0.6886295416139879), 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 19, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 44, 'n_jobs': -1, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",1.273089325831467,2.5962146656966762,0.5735268600626331
3,BoostingRegressor,"{'alpha': np.float64(0.4507792984144696), 'ccp_alpha': 0.0, 'criterion': 'friedman_mse', 'init': None, 'learning_rate': np.float64(0.1385964945401481), 'loss': 'huber', 'max_depth': 3, 'max_features': 'log2', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 18, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 229, 'n_iter_no_change': None, 'random_state': 42, 'subsample': np.float64(0.6155338937717693), 'tol': 0.0001, 'validation_fraction': 0.1, 'verbose': 0, 'warm_start': False}",0.599891702682715,2.3016104201132124,0.6648230720650152
4,StackingRegressor,"{'cv': 5, 'estimators': [('svr_rbf', SVR(C=50, epsilon=0.5, gamma=0.001)), ('svr_sigmoid', SVR(C=50, coef0=0.5, epsilon=0.2, gamma=0.001, kernel='sigmoid')), ('DecisionTree', DecisionTreeRegressor(criterion='absolute_error', max_depth=15,
                      min_samples_leaf=10, random_state=42)), ('lasso', Lasso())], 'final_estimator__alpha': 1.0, 'final_estimator__copy_X': True, 'final_estimator__fit_intercept': True, 'final_estimator__max_iter': None, 'final_estimator__positive': False, 'final_estimator__random_state': None, 'final_estimator__solver': 'auto', 'final_estimator__tol': 0.0001, 'final_estimator': Ridge(), 'n_jobs': None, 'passthrough': False, 'verbose': 0, 'svr_rbf': SVR(C=50, epsilon=0.5, gamma=0.001), 'svr_sigmoid': SVR(C=50, coef0=0.5, epsilon=0.2, gamma=0.001, kernel='sigmoid'), 'DecisionTree': DecisionTreeRegressor(criterion='absolute_error', max_depth=15,
                      min_samples_leaf=10, random_state=42), 'lasso': Lasso(), 'svr_rbf__C': 50, 'svr_rbf__cache_size': 200, 'svr_rbf__coef0': 0.0, 'svr_rbf__degree': 3, 'svr_rbf__epsilon': 0.5, 'svr_rbf__gamma': 0.001, 'svr_rbf__kernel': 'rbf', 'svr_rbf__max_iter': -1, 'svr_rbf__shrinking': True, 'svr_rbf__tol': 0.001, 'svr_rbf__verbose': False, 'svr_sigmoid__C': 50, 'svr_sigmoid__cache_size': 200, 'svr_sigmoid__coef0': 0.5, 'svr_sigmoid__degree': 3, 'svr_sigmoid__epsilon': 0.2, 'svr_sigmoid__gamma': 0.001, 'svr_sigmoid__kernel': 'sigmoid', 'svr_sigmoid__max_iter': -1, 'svr_sigmoid__shrinking': True, 'svr_sigmoid__tol': 0.001, 'svr_sigmoid__verbose': False, 'DecisionTree__ccp_alpha': 0.0, 'DecisionTree__criterion': 'absolute_error', 'DecisionTree__max_depth': 15, 'DecisionTree__max_features': None, 'DecisionTree__max_leaf_nodes': None, 'DecisionTree__min_impurity_decrease': 0.0, 'DecisionTree__min_samples_leaf': 10, 'DecisionTree__min_samples_split': 2, 'DecisionTree__min_weight_fraction_leaf': 0.0, 'DecisionTree__monotonic_cst': None, 'DecisionTree__random_state': 42, 'DecisionTree__splitter': 'best', 'lasso__alpha': 1.0, 'lasso__copy_X': True, 'lasso__fit_intercept': True, 'lasso__max_iter': 1000, 'lasso__positive': False, 'lasso__precompute': False, 'lasso__random_state': None, 'lasso__selection': 'cyclic', 'lasso__tol': 0.0001, 'lasso__warm_start': False}",0.5546736417540795,2.284958755060876,0.6696553966775539
